,STATION,ELEMENT,YEAR,TIMEFUNCTION,MDFUNCTION,VALUE,FLAG_REPEAT,FLAG_INTERRUPTED,Unnamed: 8
1544,0-203-0-11514,TMA,1823,21:00,GE(30),1.0,,,
1548,0-203-0-11514,TMA,1823,21:00,GE(34),0.0,,,
1552,0-203-0-11514,TMA,1823,21:00,GE(35),0.0,,,
1556,0-203-0-11514,TMA,1823,21:00,L(0),33.0,,,
1560,0-203-0-11514,TMA,1823,21:00,MAX,30.4,,,
1564,0-203-0-11514,TMA,1823,21:00,MIN,-18.3,,,
1568,0-203-0-11514,TMA,1824,21:00,AVG,13.5,,,
1572,0-203-0-11514,TMA,1824,21:00,GE(25),27.0,,,
1576,0-203-0-11514,TMA,1824,21:00,GE(30),0.0,,,
1580,0-203-0-11514,TMA,1824,21:00,GE(34),0.0,,,
1584,0-203-0-11514,TMA,1824,21:00,GE(35),0.0,,,
1588,0-203-0-11514,TMA,1824,21:00,L(0),11.0,,,
1592,0-203-0-11514,TMA,1824,21:00,MAX,29.7,,,
1596,0-203-0-11514,TMA,1824,21:00,MIN,-3.6,,,
