,STATION,ELEMENT,YEAR,TIMEFUNCTION,MDFUNCTION,VALUE,FLAG_REPEAT,FLAG_INTERRUPTED,Unnamed: 8
1348,0-203-0-11514,TMI,1831,21:00,GE(20),0.0,,,
1352,0-203-0-11514,TMI,1831,21:00,L(0),60.0,,,
1356,0-203-0-11514,TMI,1831,21:00,L(-12),10.0,,,
1360,0-203-0-11514,TMI,1831,21:00,MAX,19.5,,,
1364,0-203-0-11514,TMI,1831,21:00,MIN,-21.0,,,
1368,0-203-0-11514,TMI,1832,21:00,AVG,6.0,,,
1372,0-203-0-11514,TMI,1832,21:00,GE(20),1.0,,,
1376,0-203-0-11514,TMI,1832,21:00,L(0),83.0,,,
1380,0-203-0-11514,TMI,1832,21:00,L(-12),0.0,,,
1384,0-203-0-11514,TMI,1832,21:00,MAX,21.3,,,
1388,0-203-0-11514,TMI,1832,21:00,MIN,-11.0,,,
1392,0-203-0-11514,TMI,1833,21:00,AVG,6.6,,,
1396,0-203-0-11514,TMI,1833,21:00,GE(20),2.0,,,
1400,0-203-0-11514,TMI,1833,21:00,L(0),57.0,,,
1404,0-203-0-11514,TMI,1833,21:00,L(-12),5.0,,,
1408,0-203-0-11514,TMI,1833,21:00,MAX,21.0,,,
1412,0-203-0-11514,TMI,1833,21:00,MIN,-13.8,,,
1416,0-203-0-11514,TMI,1834,21:00,AVG,7.5,,,
1420,0-203-0-11514,TMI,1834,21:00,GE(20),4.0,,,
1424,0-203-0-11514,TMI,1834,21:00,L(0),66.0,,,
1428,0-203-0-11514,TMI,1834,21:00,L(-12),0.0,,,
1432,0-203-0-11514,TMI,1834,21:00,MAX,20.8,,,
1436,0-203-0-11514,TMI,1834,21:00,MIN,-8.4,,,
1440,0-203-0-11514,TMI,1835,21:00,AVG,6.1,,,
1444,0-203-0-11514,TMI,1835,21:00,GE(20),2.0,,,
1448,0-203-0-11514,TMI,1835,21:00,L(0),77.0,,,
1452,0-203-0-11514,TMI,1835,21:00,L(-12),1.0,,,
1456,0-203-0-11514,TMI,1835,21:00,MAX,21.0,,,
1460,0-203-0-11514,TMI,1835,21:00,MIN,-12.6,,,
1464,0-203-0-11514,TMI,1836,21:00,AVG,6.1,,,
1468,0-203-0-11514,TMI,1836,21:00,GE(20),0.0,,,
1472,0-203-0-11514,TMI,1836,21:00,L(0),65.0,,,
1476,0-203-0-11514,TMI,1836,21:00,L(-12),2.0,,,
1480,0-203-0-11514,TMI,1836,21:00,MAX,18.8,,,
1484,0-203-0-11514,TMI,1836,21:00,MIN,-14.5,,,
1488,0-203-0-11514,TMI,1837,21:00,AVG,5.1,,,
1492,0-203-0-11514,TMI,1837,21:00,GE(20),3.0,,,
1496,0-203-0-11514,TMI,1837,21:00,L(0),93.0,,,
1500,0-203-0-11514,TMI,1837,21:00,L(-12),2.0,,,
1504,0-203-0-11514,TMI,1837,21:00,MAX,20.4,,,
1508,0-203-0-11514,TMI,1837,21:00,MIN,-12.1,*,,
1512,0-203-0-11514,TMI,1838,21:00,AVG,3.6,,,
1516,0-203-0-11514,TMI,1838,21:00,GE(20),0.0,,,
1520,0-203-0-11514,TMI,1838,21:00,L(0),105.0,,,
1524,0-203-0-11514,TMI,1838,21:00,L(-12),27.0,,,
1528,0-203-0-11514,TMI,1838,21:00,MAX,19.9,,,
1532,0-203-0-11514,TMI,1838,21:00,MIN,-22.0,,,
1536,0-203-0-11514,TMI,1839,21:00,AVG,5.9,,,
1540,0-203-0-11514,TMI,1839,21:00,GE(20),0.0,,,
1544,0-203-0-11514,TMI,1839,21:00,L(0),91.0,,,
1548,0-203-0-11514,TMI,1839,21:00,L(-12),0.0,,,
1552,0-203-0-11514,TMI,1839,21:00,MAX,19.3,,,
1556,0-203-0-11514,TMI,1839,21:00,MIN,-10.1,,,
1560,0-203-0-11514,TMI,1840,21:00,AVG,4.0,,,
1564,0-203-0-11514,TMI,1840,21:00,GE(20),0.0,,,
1568,0-203-0-11514,TMI,1840,21:00,L(0),101.0,,,
1572,0-203-0-11514,TMI,1840,21:00,L(-12),23.0,,,
1576,0-203-0-11514,TMI,1840,21:00,MAX,17.8,,,
1580,0-203-0-11514,TMI,1840,21:00,MIN,-21.5,,,
1584,0-203-0-11514,TMI,1841,21:00,AVG,5.9,,,
1588,0-203-0-11514,TMI,1841,21:00,GE(20),0.0,,,
1592,0-203-0-11514,TMI,1841,21:00,L(0),77.0,,,
1596,0-203-0-11514,TMI,1841,21:00,L(-12),15.0,,,
1600,0-203-0-11514,TMI,1841,21:00,MAX,19.1,,,
